Age_group,Sex,Year,Suicide_rate
15–19,Males,2012,9.6
15–19,Males,2013,15.2
15–19,Males,2014,12.6
15–19,Males,2015,12.4
15–19,Males,2016,13.5
15–19,Males,2017,15
15–19,Males,2018,17.8
15–19,Males,2019,16.4
15–19,Males,2020,17
15–19,Males,2021,13.1
20–24,Males,2012,17.4
20–24,Males,2013,18.5
20–24,Males,2014,21.3
20–24,Males,2015,22.7
20–24,Males,2016,23.7
20–24,Males,2017,22.4
20–24,Males,2018,23.8
20–24,Males,2019,24.5
20–24,Males,2020,24.9
20–24,Males,2021,21.5
25–29,Males,2012,19.8
25–29,Males,2013,18.7
25–29,Males,2014,19.9
25–29,Males,2015,22.9
25–29,Males,2016,21.3
25–29,Males,2017,24.7
25–29,Males,2018,23.4
25–29,Males,2019,24.3
25–29,Males,2020,23.1
25–29,Males,2021,24.3
30–34,Males,2012,22.7
30–34,Males,2013,20
30–34,Males,2014,27.2
30–34,Males,2015,25.4
30–34,Males,2016,27.5
30–34,Males,2017,27.7
30–34,Males,2018,23.8
30–34,Males,2019,26.4
30–34,Males,2020,23.1
30–34,Males,2021,23.5
35–39,Males,2012,26
35–39,Males,2013,21.8
35–39,Males,2014,25.2
35–39,Males,2015,27.9
35–39,Males,2016,25.1
35–39,Males,2017,27.7
35–39,Males,2018,27.7
35–39,Males,2019,27.8
35–39,Males,2020,23.7
35–39,Males,2021,24.8
40–44,Males,2012,25.8
40–44,Males,2013,26.7
40–44,Males,2014,31.1
40–44,Males,2015,30.8
40–44,Males,2016,27.7
40–44,Males,2017,32.3
40–44,Males,2018,26
40–44,Males,2019,29.5
40–44,Males,2020,27.2
40–44,Males,2021,22.9
45–49,Males,2012,27.1
45–49,Males,2013,24.3
45–49,Males,2014,25.7
45–49,Males,2015,32.6
45–49,Males,2016,23.5
45–49,Males,2017,33.7
45–49,Males,2018,29.5
45–49,Males,2019,32.2
45–49,Males,2020,25.4
45–49,Males,2021,23.2
50–54,Males,2012,24.5
50–54,Males,2013,24.6
50–54,Males,2014,30.1
50–54,Males,2015,32
50–54,Males,2016,24.4
50–54,Males,2017,22.3
50–54,Males,2018,28.1
50–54,Males,2019,27.1
50–54,Males,2020,26.8
50–54,Males,2021,26.9
55–59,Males,2012,21.1
55–59,Males,2013,21.5
55–59,Males,2014,27.1
55–59,Males,2015,21.5
55–59,Males,2016,22.4
55–59,Males,2017,27.3
55–59,Males,2018,29.5
55–59,Males,2019,26.5
55–59,Males,2020,22.5
55–59,Males,2021,25.6
60–64,Males,2012,17.6
60–64,Males,2013,18.9
60–64,Males,2014,21.4
60–64,Males,2015,19.7
60–64,Males,2016,21.6
60–64,Males,2017,20.8
60–64,Males,2018,24
60–64,Males,2019,24.2
60–64,Males,2020,23.5
60–64,Males,2021,22.2
65–69,Males,2012,15.2
65–69,Males,2013,16.8
65–69,Males,2014,16.9
65–69,Males,2015,19.2
65–69,Males,2016,16.1
65–69,Males,2017,22
65–69,Males,2018,16.3
65–69,Males,2019,18.1
65–69,Males,2020,17.4
65–69,Males,2021,18.9
70–74,Males,2012,18.9
70–74,Males,2013,17.8
70–74,Males,2014,16.8
70–74,Males,2015,19.2
70–74,Males,2016,15.1
70–74,Males,2017,19.2
70–74,Males,2018,17.2
70–74,Males,2019,18.1
70–74,Males,2020,16.5
70–74,Males,2021,19.1
75–79,Males,2012,17.2
75–79,Males,2013,21.4
75–79,Males,2014,22
75–79,Males,2015,20.1
75–79,Males,2016,22.4
75–79,Males,2017,16.5
75–79,Males,2018,18.3
75–79,Males,2019,19.5
75–79,Males,2020,19.3
75–79,Males,2021,17.5
80–84,Males,2012,29.1
80–84,Males,2013,22.7
80–84,Males,2014,20.9
80–84,Males,2015,26.8
80–84,Males,2016,22.2
80–84,Males,2017,22.4
80–84,Males,2018,23.8
80–84,Males,2019,22
80–84,Males,2020,21.7
80–84,Males,2021,31.2
85+,Males,2012,38.1
85+,Males,2013,38.6
85+,Males,2014,38.5
85+,Males,2015,41.3
85+,Males,2016,36.3
85+,Males,2017,34.2
85+,Males,2018,33.9
